Title,Company,Ratings,Experience,Salary,Location,Job_Post_History,Skills,Description
Senior Business Analytics - Data Scientist/ NASDAQ Firm,Huquo Consulting Pvt. Ltd,3.6,1-3 Yrs,Not disclosed,Gurgaon/Gurugram,8 Days Ago,"['Logistic Regression', 'data science', 'marketing analytics', 'Predictive Modeling', 'Decision Tree', 'Business Analytics', 'SAS', 'Data Management']"," Candidate Profile: - Bachelor- s/ Masters degree in computer science, mathematics, stat..."
Data Scientist,Allegis Services India Pvt. Ltd.,3.6,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,11 Days Ago,"['Python', 'Recruitment', 'SQL', 'Business Opportunity', 'Power Bi', 'Advanced Analytics', 'Tableau']"," General shift Not a role which is only taking direction to perform the job, he or she w..."
Data Scientist,RiverForest Connections Private Limited,3.6,2-6 Yrs,Not disclosed,"Mumbai, Chennai",6 Days Ago,"['Data scientist', 'Predictive ModelingStatistical Analysis', 'Customer Experience', 'Customer Acquisition']"," Roles and Responsibilities Job Purpose Performing data-mining and statistical analysis,..."
Job Opening For Data Scientist - Rapid Miner,Wipro,3.9,7-12 Yrs,Not disclosed,"Kochi/Cochin, Kolkata, Gurgaon/Gurugram, Chennai, Coimbatore, Bangalore/Bengaluru, Mumbai (All Areas), Pune, Hyderabad",30+ Days Ago,"['Data Science', 'Rapid Miner', 'Python', 'SAS', 'R', 'SQL', 'RapidMiner', 'Microservices']", Preferred Location is Experience in Architecting cloud native scalable AI platform
Job Opening For Data Scientist - Rapid Miner,Wipro,3.9,6-11 Yrs,Not disclosed,"Kochi/Cochin, Kolkata, Gurgaon/Gurugram, Chennai, Coimbatore, Bangalore/Bengaluru, Mumbai (All Areas), Pune, Hyderabad",21 Days Ago,"['Data Science', 'Rapid Miner', 'IT Skills', 'Python', 'Cloud', 'Big Data', 'SAS', 'Data Visualization']", Preferred Location is Experience in Architecting cloud native scalable AI platform
Data Scientist 1,PayPal,4.3,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,14 Days Ago,"['Manager Technology', 'Scientist 1', 'Management', 'Financial services']"," Bachelor s degree or higher in a quantitative field (Business, Math, Economics, Finance..."
Data Scientist,HDFC Bank,4,1-6 Yrs,"14,00,000 - 24,00,000 PA.","Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",30+ Days Ago,"['analytics', 'python', 'r', 'credit risk', 'predictive modeling', 'risk modeling', 'machine learning', 'data wrangling']", Experience of 2+ years in Python / R in building as well as deploying scalable analytic...
Data Scientist - Credit Risk,Scienaptic Systems,3.2,4-7 Yrs,Not disclosed,Bangalore/Bengaluru,4 Days Ago,"['Business analytics', 'Manager Technology', 'Credit risk']", The Data Scientist role will enable you to be at the forefront of latest cutting-edge t...
Data Scientist,PROTOCOLZONE PRIVATE LIMITED,4.1,1-4 Yrs,"3,00,000 - 6,00,000 PA.","Ahmedabad, Bangalore/Bengaluru",5 Days Ago,"['sports prediction', 'Logistic Regression', 'non linear optimization', 'Investment Strategies', 'Probability', 'Pandas', 'R', 'Python']", Employment type: Full time Should have proven experience with solving both regression a...
Data Scientist,Version 1,4.9,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,6 Days Ago,"['IT services', 'Agile scrum', 'Manager Technology', 'Customer service', 'Oracle', 'microsoft', 'Open source', 'Statistics']", You will have strong experience in building solutions using a variety of open-source to...
Data Scientist 1,PayPal,4.3,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,14 Days Ago,"['Analytical', 'Focus', 'Manager Technology', 'Customer experience', 'Scientist 1', 'Financial services']"," We re looking for a data-driven, outcome-focused, and high performing Data Scientist to..."
Data Scientist 1,PayPal,4.3,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,14 Days Ago,"['Product management', 'Analytical skills', 'Trade', 'Coding', 'Scientist 1', 'Financial services', 'Spectrum']"," As a Data Scientist, you will apply your strategic and analytical skills to major busin..."
Data Scientist,Bristlecone,3.9,5-10 Yrs,Not disclosed,Mumbai,10 Days Ago,"['Data Science', 'Machine Learning', 'IT Skills', 'Python', 'Azure', 'NoSQL', 'Algorithms', 'Ensemble']", 10 years as a Data Scientist with BE / MS in Computer Science or Statistics from Tier1 ...
